Species,Scientific Name,Status,Breeding,Reporting,Occurrence
Fulvous Whistling-Duck,Dendrocygna bicolor,,,V,
Snow Goose,Anser caerulescens,,,,"3A-5C, 9A-1D"
Ross's Goose,Anser rossii,,,,"3C-4A, 10A-11D"
Greater White-fronted Goose,Anser albifrons,,,,10B-5B
Pink-footed Goose,Anser brachyrhynchus,,,V,
Brant,Branta bernicla,,,,"4D-5D, 10A-11D"
Barnacle Goose,Branta leucopsis,,,V,
Cackling Goose,Branta hutchinsii,,,,10A-4C
Canada Goose,Branta canadensis,,*,,1A-12D
Mute Swan,Cygnus olor,I,*,N,1A-12D
Trumpeter Swan,Cygnus buccinator,,,V,
Tundra Swan,Cygnus columbianus,,,,"3C-4C, 10A-12D"
Wood Duck,Aix sponsa,,*,,3A-12C+
Garganey,Spatula querquedula,,,V,
Blue-winged Teal,Spatula discors,,*,,3C-10D
Northern Shoveler,Spatula clypeata,,*,N,"3C-5C, 8C-11A"
Gadwall,Mareca strepera,,*,N,3A-12C+
Eurasian Wigeon,Mareca penelope,,,,"3C-5D, 10C-11A"
American Wigeon,Mareca americana,,*,N,3A-11D+
Mallard,Anas platyrhynchos,,*,,1A-12D
American Black Duck,Anas rubripes,,*,,1A-12D
Northern Pintail,Anas acuta,,*,N,3A-12C+
Green-winged Teal,Anas crecca,,*,N,3A-12B+
Canvasback,Aythya valisineria,,,,10D-4D
Redhead,Aythya americana,,,,9C-5A
Ring-necked Duck,Aythya collaris,,*,N,2D-12B+
Tufted Duck,Aythya fuligula,,,C,12B-4B
Greater Scaup,Aythya marila,,,,9D-5A+
Lesser Scaup,Aythya affinis,,,,9D-5A+
King Eider,Somateria spectabilis,,,V,
Common Eider,Somateria mollissima,,,,"4B-5D, 9C-2D"
Harlequin Duck,Histrionicus histrionicus,,,C,10D-5B
Surf Scoter,Melanitta perspicillata,,,,9D-5C
White-winged Scoter,Melanitta deglandi,,,,8D-5D
Black Scoter,Melanitta americana,,,,9D-5C
Long-tailed Duck,Clangula hyemalis,,,,10A-5C
Bufflehead,Bucephala albeola,,,,10C-5C
Common Goldeneye,Bucephala clangula,,*,,1A-12D
Barrow's Goldeneye,Bucephala islandica,,,,11A-4C
Hooded Merganser,Lophodytes cucullatus,,*,,3C-12D+
Common Merganser,Mergus merganser,,*,,1A-12D
Red-breasted Merganser,Mergus serrator,,*,N,10B-5C
Ruddy Duck,Oxyura jamaicensis,,,,"4A-4C, 10C-11D"
Northern Bobwhite,Colinus virginianus,I,,,1A-12D
Wild Turkey,Meleagris gallopavo,,*,,1A-12D
Ruffed Grouse,Bonasa umbellus,,*,,1A-12D
Spruce Grouse,Falcipennis canadensis,,*,K,1A-12D
Willow Ptarmigan,Lagopus lagopus,,,V,
Gray Partridge,Perdix perdix,I,*,V,
Ring-necked Pheasant,Phasianus colchicus,I,*,N,1A-12D
Pied-billed Grebe,Podilymbus podiceps,,*,N,3B-11D+
Horned Grebe,Podiceps auritus,,,,9D-5A
Red-necked Grebe,Podiceps grisegena,,,,9A-5C
Eared Grebe,Podiceps nigricollis,,,V,
Western/Clark's Grebe,Aechmophorus spp.,,,V,
Rock Pigeon,Columba livia,I,*,,1A-12D
Band-tailed Pigeon,Patagioenas fasciata,,,V,
Eurasian Collared-Dove,Streptopelia decaocto,I,,V,
Passenger Pigeon,Ectopistes migratorius,X,*,V,
White-winged Dove,Zenaida asiatica,,,V,
Mourning Dove,Zenaida macroura,,*,,1A-12D
Yellow-billed Cuckoo,Coccyzus americanus,,*,,5C-9D
Black-billed Cuckoo,Coccyzus erythropthalmus,,*,,5C-9D
Common Nighthawk,Chordeiles minor,,*,N,5C-9B
Eastern Whip-poor-will,Antrostomus vociferus,,*,N,5A-9A
Chimney Swift,Chaetura pelagica,,*,,4D-9C
Ruby-throated Hummingbird,Archilochus colubris,,*,,5A-10A
Rufous Hummingbird,Selasphorus rufus,,,V,
Clapper Rail,Rallus crepitans,,,V,
Virginia Rail,Rallus limicola,,*,,4C-10B
Sora,Porzana carolina,,*,N,4C-10A
Common Gallinule,Gallinula galeata,,*,,4D-10A
American Coot,Fulica americana,,,N,"3D-5C, 10A-12C+"
Yellow Rail,Coturnicops noveboracensis,,,V,
Sandhill Crane,Antigone canadensis,,*,N,4B-11A
American Avocet,Recurvirostra americana,,,V,
Black-bellied Plover,Pluvialis squatarola,,,,"4D-6B, 8B-11A"
American Golden-Plover,Pluvialis dominica,,,,8C-10D
Pacific Golden-Plover,Pluvialis fulva,H,,V,
Killdeer,Charadrius vociferus,,*,,3A-11B
Semipalmated Plover,Charadrius semipalmatus,,,,"5B-6C, 7D-10B"
Piping Plover,Charadrius melodus,,,V,
Upland Sandpiper,Bartramia longicauda,,*,N,4D-8D
Whimbrel,Numenius phaeopus,,,,7C-10A
Black-tailed Godwit,Limosa limosa,,,V,
Hudsonian Godwit,Limosa haemastica,,,,8D-11C
Marbled Godwit,Limosa fedoa,,,V,
Ruddy Turnstone,Arenaria interpres,,,,"5C-6B, 7B-10D"
Red Knot,Calidris canutus,,,C,"5C-6B, 8A-10D"
Ruff,Calidris pugnax,,,V,
Stilt Sandpiper,Calidris himantopus,,,,7B-10C
Curlew Sandpiper,Calidris ferruginea,,,V,
Sanderling,Calidris alba,,,,8A-10C
Dunlin,Calidris alpina,,,,"4D-6B, 9B-11B"
Purple Sandpiper,Calidris maritima,,,,10C-11C
Baird's Sandpiper,Calidris bairdii,,,,8A-9D
Least Sandpiper,Calidris minutilla,,,,"5B-5D, 7B-10A"
White-rumped Sandpiper,Calidris fuscicollis,,,,"5C-5D, 8B-11A"
Buff-breasted Sandpiper,Calidris subruficollis,,,,8B-9D
Pectoral Sandpiper,Calidris melanotos,,,,"4A-5C, 7D-11A"
Semipalmated Sandpiper,Calidris pusilla,,,,"5B-6A, 7B-10C"
Western Sandpiper,Calidris mauri,,,V,
Short-billed Dowitcher,Limnodromus griseus,,,,"5B-6A, 7C-10A"
Long-billed Dowitcher,Limnodromus scolopaceus,,,,8D-10D
American Woodcock,Scolopax minor,,*,,3C-11A+
Wilson's Snipe,Gallinago delicata,,*,,3D-11A+
Spotted Sandpiper,Actitis macularius,,*,,4D-10C
Solitary Sandpiper,Tringa solitaria,,,,"4D-5D, 7B-10B"
Lesser Yellowlegs,Tringa flavipes,,,,"4D-5D, 7B-10D"
Willet,Tringa semipalmata,,,,"5D, 7B-10D"
Greater Yellowlegs,Tringa melanoleuca,,,,"4B-5D, 7B-11B"
Wilson's Phalarope,Phalaropus tricolor,,,C,"5B-6A, 7D-9B"
Red-necked Phalarope,Phalaropus lobatus,,,,"5B-6A, 8B-10A"
Red Phalarope,Phalaropus fulicarius,,,,"5B-6B, 8D-11D"
Pomarine Jaeger,Stercorarius pomarinus,,,C,8D-11C
Parasitic Jaeger,Stercorarius parasiticus,,,C,8D-11C
Long-tailed Jaeger,Stercorarius longicaudus,,,C,8D-11A
Dovekie,Alle alle,,,V,
Common Murre,Uria aalge,,,V,
Thick-billed Murre,Uria lomvia,,,V,
Black Guillemot,Cepphus grylle,,,V,
Ancient Murrelet,Synthliboramphus antiquus,,,V,
Atlantic Puffin,Fratercula arctica,,,V,
Black-legged Kittiwake,Rissa tridactyla,,,C,8A-11C
Ivory Gull,Pagophila eburnea,,,V,
Sabine's Gull,Xema sabini,,,C,9A-10D
Bonaparte's Gull,Chroicocephalus philadelphia,,,,"4B-5D, 7C-12C"
Black-headed Gull,Chroicocephalus ridibundus,,,C,10B-11A
Little Gull,Hydrocoloeus minutus,,,,7B-12B
Laughing Gull,Leucophaeus atricilla,,,V,
Franklin's Gull,Leucophaeus pipixcan,,,V,
Black-tailed Gull,Larus crassirostris,,,V,
Ring-billed Gull,Larus delawarensis,,*,,1A-12D
Herring Gull,Larus argentatus,,*,,1A-12D
Iceland Gull,Larus glaucoides,,,,11A-4A
Lesser Black-backed Gull,Larus fuscus,,,C,9C-4C
Slaty-backed Gull,Larus schistisagus,,,V,
Glaucous Gull,Larus hyperboreus,,,,12A-4B
Great Black-backed Gull,Larus marinus,,*,,1A-12D
Sooty Tern,Onychoprion fuscatus,,,V,
Caspian Tern,Hydroprogne caspia,,*,N,4B-10A
Black Tern,Chlidonias niger,,*,N,4D-9A
White-winged Tern,Chlidonias leucopterus,,,V,
Common Tern,Sterna hirundo,,*,N,4D-10A
Arctic Tern,Sterna paradisaea,,,V,
Forster's Tern,Sterna forsteri,,*,V,
White-tailed Tropicbird,Phaethon lepturus,,,V,
Red-throated Loon,Gavia stellata,,,,"4A-5D, 10B-12C"
Arctic Loon,Gavia arctica,H,,V,
Pacific Loon,Gavia pacifica,,,V,
Common Loon,Gavia immer,,*,,4A-1D
Wilson's Storm-Petrel,Oceanites oceanicus,,,V,
Leach's Storm-Petrel,Hydrobates leucorhous,,,V,
Band-rumped Storm-Petrel,Hydrobates castro,,,V,
Northern Fulmar,Fulmarus glacialis,,,V,
Cory's Shearwater,Calonectris diomedea,,,V,
Great Shearwater,Ardenna gravis,,,V,
Wood Stork,Mycteria americana,,,V,
Brown Booby,Sula leucogaster,,,V,
Northern Gannet,Morus bassanus,,,C,9C-12C
Anhinga,Anhinga anhinga,H,,V,
Great Cormorant,Phalacrocorax carbo,,,,"4C-5C, 9A-12D"
Double-crested Cormorant,Phalacrocorax auritus,,*,,3D-12A+
American White Pelican,Pelecanus erythrorhynchos,,,V,
Brown Pelican,Pelecanus occidentalis,,,V,
American Bittern,Botaurus lentiginosus,,*,,4B-10C
Least Bittern,Ixobrychus exilis,,*,N,5C-8D
Great Blue Heron,Ardea herodias,,*,,3B-12D
Great Egret,Ardea alba,,*,N,4B-10C
Snowy Egret,Egretta thula,,*,N,4C-9D
Little Blue Heron,Egretta caerulea,,,,"4C-5C, 7A-9C"
Tricolored Heron,Egretta tricolor,,,V,
Cattle Egret,Bubulcus ibis,,*,N,4C-9D
