Common Name,Scientific Name,State,Counts,Every Year,Total Years,Years
Accipiter sp.,Accipiter sp.,WA,53,false,1,"""2022"""
alcid sp.,Alcidae sp.,WA,167,false,1,"""2022"""
American Bittern,Botaurus lentiginosus,WA,213,false,1,"""2022"""
American Crow,Corvus brachyrhynchos,WA,34477,false,1,"""2022"""
American Dipper,Cinclus mexicanus,WA,192,false,1,"""2022"""
American Goldfinch,Spinus tristis,WA,7653,false,1,"""2022"""
American Kestrel,Falco sparverius,WA,504,false,1,"""2022"""
American Pipit,Anthus rubescens,WA,398,false,1,"""2022"""
American Robin,Turdus migratorius,WA,26192,false,1,"""2022"""
American Wigeon,Mareca americana,WA,5155,false,1,"""2022"""
Annas Hummingbird,Calypte anna,WA,23037,false,1,"""2022"""
Aythya sp.,Aythya sp.,WA,55,false,1,"""2022"""
Bald Eagle,Haliaeetus leucocephalus,WA,11526,false,1,"""2022"""
Barrows Goldeneye,Bucephala islandica,WA,1277,false,1,"""2022"""
Barn Swallow,Hirundo rustica,WA,4983,false,1,"""2022"""
Band-tailed Pigeon,Patagioenas fasciata,WA,2727,false,1,"""2022"""
Belted Kingfisher,Megaceryle alcyon,WA,4750,false,1,"""2022"""
Bewicks Wren,Thryomanes bewickii,WA,16475,false,1,"""2022"""
bird sp.,Aves sp.,WA,390,false,1,"""2022"""
Black-billed Magpie,Pica hudsonia,WA,64,false,1,"""2022"""
Black-capped Chickadee,Poecile atricapillus,WA,27227,false,1,"""2022"""
blackbird sp.,Icteridae sp.,WA,55,false,1,"""2022"""
Black Phoebe,Sayornis nigricans,WA,176,false,1,"""2022"""
Black Scoter,Melanitta americana,WA,151,false,1,"""2022"""
Black Turnstone,Arenaria melanocephala,WA,283,false,1,"""2022"""
Brown-headed Cowbird,Molothrus ater,WA,2914,false,1,"""2022"""
Bonapartes Gull,Chroicocephalus philadelphia,WA,500,false,1,"""2022"""
Brandts Cormorant,Urile penicillatus,WA,903,false,1,"""2022"""
Brant (Black),Branta bernicla nigricans,WA,1028,false,1,"""2022"""
Brant (Black),Branta bernicla,WA,1028,false,1,"""2022"""
Brant (Gray-bellied),Branta bernicla (Gray-bellied),WA,21,false,1,"""2022"""
Barred Owl,Strix varia,WA,1111,false,1,"""2022"""
Brewers Blackbird,Euphagus cyanocephalus,WA,306,false,1,"""2022"""
Brown Creeper,Certhia americana,WA,6529,false,1,"""2022"""
Barn Owl (American),Tyto alba [tuidara Group],WA,268,false,1,"""2022"""
Barn Owl (American),Tyto alba,WA,268,false,1,"""2022"""
Bufflehead,Bucephala albeola,WA,7958,false,1,"""2022"""
Bushtit,Psaltriparus minimus,WA,8188,false,1,"""2022"""
Bushtit (Pacific),Psaltriparus minimus [minimus Group],WA,1178,false,1,"""2022"""
Cackling Goose,Branta hutchinsii,WA,1068,false,1,"""2022"""
Cackling Goose (minima),Branta hutchinsii minima,WA,37,false,1,"""2022"""
Cackling Goose (Taverners),Branta hutchinsii taverneri,WA,29,false,1,"""2022"""
California Gull,Larus californicus,WA,1963,false,1,"""2022"""
peep sp.,Calidris sp. (peep sp.),WA,135,false,1,"""2022"""
Calidris sp.,Calidris sp.,WA,18,false,1,"""2022"""
California Quail,Callipepla californica,WA,190,false,1,"""2022"""
Canada Goose,Branta canadensis,WA,13012,false,1,"""2022"""
Canada Goose (canadensis Group),Branta canadensis [canadensis Group],WA,31,false,1,"""2022"""
Canada Goose (occidentalis/fulva),Branta canadensis occidentalis/fulva,WA,5,false,1,"""2022"""
Canada Goose (moffitti/maxima),Branta canadensis moffitti/maxima,WA,303,false,1,"""2022"""
Canvasback,Aythya valisineria,WA,490,false,1,"""2022"""
Catharus sp.,Catharus sp.,WA,13,false,1,"""2022"""
Cedar Waxwing,Bombycilla cedrorum,WA,6075,false,1,"""2022"""
Chestnut-backed Chickadee,Poecile rufescens,WA,13065,false,1,"""2022"""
chickadee sp.,Poecile sp.,WA,257,false,1,"""2022"""
Cinnamon Teal,Spatula cyanoptera,WA,644,false,1,"""2022"""
Clarks Grebe,Aechmophorus clarkii,WA,42,false,1,"""2022"""
Common Goldeneye,Bucephala clangula,WA,3390,false,1,"""2022"""
Common Loon,Gavia immer,WA,766,false,1,"""2022"""
Common Merganser,Mergus merganser,WA,5447,false,1,"""2022"""
Common Merganser (North American),Mergus merganser americanus,WA,182,false,1,"""2022"""
Common Murre,Uria aalge,WA,348,false,1,"""2022"""
Common Raven,Corvus corax,WA,2709,false,1,"""2022"""
Common Redpoll,Acanthis flammea,WA,478,false,1,"""2022"""
Common Redpoll (flammea),Acanthis flammea flammea,WA,14,false,1,"""2022"""
Coopers Hawk,Accipiter cooperii,WA,4119,false,1,"""2022"""
cormorant sp.,Phalacrocoracidae sp.,WA,672,false,1,"""2022"""
California Scrub-Jay,Aphelocoma californica,WA,1132,false,1,"""2022"""
Common x Barrows Goldeneye (hybrid),Bucephala clangula x islandica,WA,1,false,1,"""2022"""
