GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS551244913	2018-01-06 14:40:32	6446	species	avibase-3E7F825D	Sooty Tern	Onychoprion fuscatus				1					United States	US	Vermont	US-VT	Addison	US-VT-001		13			Larrabees Point, Shoreham	L294520	P	43.8561490	-73.3762900	1876-09-06		obsr27544	S40646670	Historical	P62	EBIRD					0		0	1	1		Historical.	Specimen found by Jenness Richardson, accepted for publication by F. H. Herrick and R. H. Howe (Science 3: 216)	
URN:CornellLabOfOrnithology:EBIRD:OBS701546989	2019-01-22 14:02:43	31480	species	avibase-80C297E6	White-winged Crossbill	Loxia leucoptera				X					United States	US	Vermont	US-VT	Essex	US-VT-009		14			Lunenburg	L297522	T	44.4631600	-71.6820300	1878-03-22		obsr27544	S51937864	Incidental	P20	EBIRD					0		0	1	0		from card catalogue compiled by Frank Oatman 1975-1982 from: his notes up to 12 Jan 1983; all RVB reports through winter 1980-81; All American Bird reports through Sept. 1982.	2 nests taken	
URN:CornellLabOfOrnithology:EBIRD:OBS175200804	2013-01-04 16:52:40	5327	species	avibase-3EF081A8	Common Gallinule	Gallinula galeata				X					United States	US	Vermont	US-VT	Addison	US-VT-001		13			Ferrisburgh	L1866785	P	44.2021410	-73.2787319	1879-04-28		obsr350731	S12492020	Incidental	P20	EBIRD				1	0		0	1	0		Cooke, Wells W. 1914. Distribution and Migration of North American Rails and Their Allies. Bulletin of the U.S. Department of Agriculture No. 128; Uploaded by Dan Scheiman	Observer: Robinson; earliest spring arrival	
URN:CornellLabOfOrnithology:EBIRD:OBS701546990	2019-01-22 14:02:43	10728	species	avibase-6BDADC9C	Black-backed Woodpecker	Picoides arcticus				X					United States	US	Vermont	US-VT	Essex	US-VT-009		14			Lunenburg	L297522	T	44.4631600	-71.6820300	1880-06-01		obsr27544	S51937865	Incidental	P20	EBIRD					0		0	1	0		from card catalogue compiled by Frank Oatman 1975-1982 from: his notes up to 12 Jan 1983; all RVB reports through winter 1980-81; All American Bird reports through Sept. 1982.	nest found	
URN:CornellLabOfOrnithology:EBIRD:OBS174974689	2013-01-03 08:35:04	5327	species	avibase-3EF081A8	Common Gallinule	Gallinula galeata				X					United States	US	Vermont	US-VT	Rutland	US-VT-021	US-VT_1755	13			Lake Bomoseen/Hubbardton Marshes IBA	L165378	H	43.6878364	-73.1960110	1881-05-28		obsr350731	S12471507	Incidental	P20	EBIRD				1	0		0	1	0		Cooke, Wells W. 1914. Distribution and Migration of North American Rails and Their Allies. Bulletin of the U.S. Department of Agriculture No. 128; Uploaded by Dan Scheiman	Observer: Richardson; eggs found	
URN:CornellLabOfOrnithology:EBIRD:OBS701546953	2019-01-22 14:02:42	10728	species	avibase-6BDADC9C	Black-backed Woodpecker	Picoides arcticus				X					United States	US	Vermont	US-VT	Essex	US-VT-009		14			Lunenburg	L297522	T	44.4631600	-71.6820300	1882-05-29		obsr27544	S51937853	Incidental	P20	EBIRD					0		0	1	0		from card catalogue compiled by Frank Oatman 1975-1982 from: his notes up to 12 Jan 1983; all RVB reports through winter 1980-81; All American Bird reports through Sept. 1982.	nest found	
URN:CornellLabOfOrnithology:EBIRD:OBS174974692	2013-01-03 08:35:04	5327	species	avibase-3EF081A8	Common Gallinule	Gallinula galeata				X					United States	US	Vermont	US-VT	Rutland	US-VT-021	US-VT_1755	13			Lake Bomoseen/Hubbardton Marshes IBA	L165378	H	43.6878364	-73.1960110	1882-05-28		obsr350731	S12471510	Incidental	P20	EBIRD				1	0		0	1	0		Cooke, Wells W. 1914. Distribution and Migration of North American Rails and Their Allies. Bulletin of the U.S. Department of Agriculture No. 128; Uploaded by Dan Scheiman	Observer: Richardson; eggs found	
URN:CornellLabOfOrnithology:EBIRD:OBS286911797	2014-12-25 10:29:11	32955	species	avibase-41062654	Northern Parula	Setophaga americana				X					United States	US	Vermont	US-VT	Orange	US-VT-017		14			Randolph	L197214	T	43.9250700	-72.6659500	1886-05-02		obsr553943	S21015843	Incidental	P20	EBIRD					0		0	1	0		Chapman, F.M. 1907. The Warblers of North America. D. Appleton & Co., 306 ppg.  Uploaded by Dan Scheiman	Earliest date of spring arrival	
URN:CornellLabOfOrnithology:EBIRD:OBS286911805	2014-12-25 10:29:11	32976	species	avibase-A6C0C4A9	Yellow Warbler	Setophaga petechia				X					United States	US	Vermont	US-VT	Orange	US-VT-017		14			Randolph	L197214	T	43.9250700	-72.6659500	1887-05-04		obsr553943	S21015851	Incidental	P20	EBIRD					0		0	1	0		Chapman, F.M. 1907. The Warblers of North America. D. Appleton & Co., 306 ppg.  Uploaded by Dan Scheiman	Earliest date of spring arrival	
URN:CornellLabOfOrnithology:EBIRD:OBS286910716	2014-12-25 10:19:06	32950	species	avibase-BED38F50	American Redstart	Setophaga ruticilla				X					United States	US	Vermont	US-VT	Caledonia	US-VT-005		14			Saint Johnsbury	L197978	T	44.4192600	-72.0151400	1888-05-08		obsr553943	S21015578	Incidental	P20	EBIRD					0		0	1	0		Chapman, F.M. 1907. The Warblers of North America. D. Appleton & Co., 306 ppg.  Uploaded by Dan Scheiman	Earliest date of spring arrival; Contributed by Miss I.M. Paddock	
