GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS175196733	2014-11-05 10:56:31	5372	species	avibase-72A4F8EB	Purple Gallinule	Porphyrio martinica				X					United States	US	Massachusetts	US-MA	Middlesex	US-MA-017		30			Stoneham	L297106	T	42.4801000	-71.0995000	1837-11-27		obsr350731	S12491631	Incidental	P20	EBIRD				1	0		0	1	1		Cooke, Wells W. 1914. Distribution and Migration of North American Rails and Their Allies. Bulletin of the U.S. Department of Agriculture No. 128; Uploaded by Dan Scheiman	Observer: Peabody; latest fall observation date	
URN:CornellLabOfOrnithology:EBIRD:OBS67477931	2012-01-24 16:11:01	1255	species	avibase-FC3D07C6	Willow Ptarmigan	Lagopus lagopus				1					United States	US	Massachusetts	US-MA	Essex	US-MA-009		30			Manchester	L252991	T	42.5779000	-70.7688900	1859-05-10		obsr171679	S4819812	Incidental	P20	EBIRD					0		0	1	1		MARC (Massachusetts Avian Records Committee) data uploaded from database 3 Apr 2009. Only accepted records are included; start and end dates included, but not intervening dates. Species comments begins with the official MARC record number. Locations matched to the extent possible; some records will require review and verification of exact location or refinement from town-level submission.	1859-01 | unknown	
URN:CornellLabOfOrnithology:EBIRD:OBS852333359	2020-02-14 21:40:23	5668	species	avibase-2143A852	American Golden-Plover	Pluvialis dominica				X					United States	US	Massachusetts	US-MA	Nantucket	US-MA-019		30			Nantucket Island	L10502985	P	41.2698120	-70.0370550	1863-08-29		obsr939641	S63474542	Historical	P62	EBIRD					0		0	1	0		Bent, Arthur Cleveland, 1929. Life Histories of North American Shore Birds, Part Two. Dover Publications; Transcribed and uploaded by Dan Scheiman, eBird profile https://ebird.org/ebird/profile/MTEzNTc4/world	Quotes Edward H. Forbush (1912) who wrote of a great flight on August 29, 1863, \"when golden plover and Eskimo curlew landed on the island in such numbers as to almost darken the sun. Between seven and eight thousand of these birds were killed on the island and on Tuckernuck.\"	
URN:CornellLabOfOrnithology:EBIRD:OBS852333360	2020-02-14 21:40:23	5863	species	avibase-FB9305DB	Eskimo Curlew	Numenius borealis				X					United States	US	Massachusetts	US-MA	Nantucket	US-MA-019		30			Nantucket Island	L10502985	P	41.2698120	-70.0370550	1863-08-29		obsr939641	S63474542	Historical	P62	EBIRD					0		0	1	1		Bent, Arthur Cleveland, 1929. Life Histories of North American Shore Birds, Part Two. Dover Publications; Transcribed and uploaded by Dan Scheiman, eBird profile https://ebird.org/ebird/profile/MTEzNTc4/world	Quotes Edward H. Forbush (1912) who wrote of a great flight on August 29, 1863, \"when golden plover and Eskimo curlew landed on the island in such numbers as to almost darken the sun. Between seven and eight thousand of these birds were killed on the island and on Tuckernuck.\"	
URN:CornellLabOfOrnithology:EBIRD:OBS880606144	2020-03-19 08:19:37	11575	species	avibase-47E58408	Peregrine Falcon	Falco peregrinus				X					United States	US	Massachusetts	US-MA	Hampden	US-MA-013	US-MA_700	30			Mt. Tom State Reservation	L923899	H	42.2613033	-72.6391983	1864-04-19		obsr939641	S65966153	Historical	P62	EBIRD					0		0	1	0		Bent, Arthur Cleveland, 1937. Life Histories of North American Birds of Prey, Part Two. Dover Publications; Transcribed and uploaded by Dan Scheiman, eBird profile https://ebird.org/ebird/profile/MTEzNTc4/world	C.W. Bennett collected eggs; Dr. J.A. Allen (1869)	
URN:CornellLabOfOrnithology:EBIRD:OBS884899698	2020-03-28 11:30:24	33029	species	avibase-4AAEF549	Palm Warbler	Setophaga palmarum				X					United States	US	Massachusetts	US-MA	Middlesex	US-MA-017	US-MA_665	30			Fresh Pond	L207370	H	42.3830000	-71.1500000	1868-04-25		obsr939641	S66313766	Historical	P62	EBIRD					0		0	1	0		Bent, Arthur Cleveland, 1953. Life Histories of North AmericanWood Warblers. Smithsonian Institution U.S. National Museum Bulletin 203; Transcribed and uploaded by Dan Scheiman, eBird profile https://ebird.org/ebird/profile/MTEzNTc4/world	\"Hundreds\" seen along with Yellow-rumped Warblers; Brewster, W. 1906. Birds of the Cambridge region of Massachusetts. Mem. Nuttall Ornith. Club, No. 4.	
URN:CornellLabOfOrnithology:EBIRD:OBS884899699	2020-03-28 11:30:24	33040	species	avibase-BC5A9498	Yellow-rumped Warbler	Setophaga coronata				X					United States	US	Massachusetts	US-MA	Middlesex	US-MA-017	US-MA_665	30			Fresh Pond	L207370	H	42.3830000	-71.1500000	1868-04-25		obsr939641	S66313766	Historical	P62	EBIRD					0		0	1	0		Bent, Arthur Cleveland, 1953. Life Histories of North AmericanWood Warblers. Smithsonian Institution U.S. National Museum Bulletin 203; Transcribed and uploaded by Dan Scheiman, eBird profile https://ebird.org/ebird/profile/MTEzNTc4/world		
URN:CornellLabOfOrnithology:EBIRD:OBS175185890	2014-11-05 10:56:31	5491	species	avibase-2B100B36	Yellow Rail	Coturnicops noveboracensis				X					United States	US	Massachusetts	US-MA	Middlesex	US-MA-017		30			Newton	L197776	T	42.3370000	-71.2092000	1868-09-08		obsr350731	S12490560	Incidental	P20	EBIRD				3	0		0	1	1		Cooke, Wells W. 1914. Distribution and Migration of North American Rails and Their Allies. Bulletin of the U.S. Department of Agriculture No. 128; Uploaded by Dan Scheiman	Observer: Baird; Brewer, and Ridgway; First fall arrival date	
URN:CornellLabOfOrnithology:EBIRD:OBS880606145	2020-03-19 08:19:37	11575	species	avibase-47E58408	Peregrine Falcon	Falco peregrinus				2					United States	US	Massachusetts	US-MA	Hampden	US-MA-013	US-MA_700	30			Mt. Tom State Reservation	L923899	H	42.2613033	-72.6391983	1869-04-28		obsr939641	S65966154	Historical	P62	EBIRD					0		0	1	0		Bent, Arthur Cleveland, 1937. Life Histories of North American Birds of Prey, Part Two. Dover Publications; Transcribed and uploaded by Dan Scheiman, eBird profile https://ebird.org/ebird/profile/MTEzNTc4/world	C.W. Bennett collected eggs from a nesting pair; Dr. J.A. Allen (1869)	
URN:CornellLabOfOrnithology:EBIRD:OBS286951719	2014-12-25 16:41:44	32849	species	avibase-7AB0F3A4	Louisiana Waterthrush	Parkesia motacilla				X					United States	US	Massachusetts	US-MA	Hampshire	US-MA-015		30			Mount Tom	L3236784	T	42.2861900	-72.6162300	1869-04-28		obsr553943	S21019478	Incidental	P20	EBIRD					0		0	1	0		Chapman, F.M. 1907. The Warblers of North America. D. Appleton & Co., 306 ppg.  Uploaded by Dan Scheiman	breeding range	
URN:CornellLabOfOrnithology:EBIRD:OBS880606146	2020-03-19 08:19:37	11575	species	avibase-47E58408	Peregrine Falcon	Falco peregrinus				2					United States	US	Massachusetts	US-MA	Hampden	US-MA-013	US-MA_700	30			Mt. Tom State Reservation	L923899	H	42.2613033	-72.6391983	1869-05-23		obsr939641	S65966155	Historical	P62	EBIRD					0		0	1	0		Bent, Arthur Cleveland, 1937. Life Histories of North American Birds of Prey, Part Two. Dover Publications; Transcribed and uploaded by Dan Scheiman, eBird profile https://ebird.org/ebird/profile/MTEzNTc4/world	C.W. Bennett collected 3 eggs from a pair's second nesting attempt; Dr. J.A. Allen (1869)	
URN:CornellLabOfOrnithology:EBIRD:OBS617957644	2020-02-02 14:51:53	1976	species	avibase-D397FE25	Passenger Pigeon	Ectopistes migratorius				1					United States	US	Massachusetts	US-MA	Nantucket	US-MA-019		30			Muskeget Island	L663962	H	41.3350604	-70.3008270	1870-07-01		obsr802347	S45680986	Historical	P62	EBIRD					0		1	1	1			\"Now extinct; formerly a transient in fall, occasionally in some numbers prior to 1875.\"----\"William Brewster and C.J. Maynard landed on Muskeget July 1, 1870. They promptly flushed a Wild Pigeon from the beach grass, which they shot. It turned out to be an immature female. This is one of the most interesting of historical records in the annals of New England ornithology. The locality, the equally remarkable date, and the age of the bird furnish a combination which defies explanation.\"----Taken from \"The Birds of Nantucket\" by Ludlow Griscom and Edith V. Folger----Original copy; printed 1948	
